emp_no,first_name,last_name,title,from_date,to_date
11157,Mario,Cochrane,Engineer,1985-03-30,1986-03-30
30465,Randi,Avouris,Engineer,1986-07-16,1987-07-16
76598,Keung,Ferriere,Engineer,1991-05-13,1992-05-12
288563,Cristinel,Gerlach,Engineer,1996-01-09,1997-01-08
77815,Ronghao,Picaronny,Engineer,1993-06-09,1994-06-09
78363,Susumu,Fritzsche,Engineer,1998-06-23,1999-06-23
288028,Kauko,Narwekar,Engineer,1985-12-16,1986-12-16
287822,Mooi,Perfilyeva,Engineer,1998-05-11,1999-05-11
466509,Bezalel,Verhoeff,Engineer,1988-03-22,1989-03-22
287583,Jovan,Hockney,Engineer,1990-06-21,1991-06-21
287482,Shigeaki,Gihr,Engineer,1994-03-18,1995-03-18
287334,Elliott,Speer,Engineer,1998-08-08,1999-08-08
286779,Sigeru,Versino,Engineer,1998-08-31,1999-08-31
286452,Behnaam,Bierbaum,Engineer,1999-01-31,2000-01-31
80656,Kwan,Gide,Engineer,1998-06-24,1999-06-24
80850,Koldo,Luit,Engineer,1995-04-16,1996-04-15
285906,Arnould,Buescher,Engineer,1998-03-26,1999-03-26
285396,Lena,Kohling,Engineer,1986-10-04,1987-10-04
284954,Anneke,Hammerschmidt,Engineer,1996-01-30,1997-01-29
284856,Moto,Kobara,Engineer,1991-12-12,1992-12-11
284691,Theron,Ressouche,Engineer,1988-08-17,1989-08-17
284687,Oksana,Redmiles,Engineer,1985-06-22,1986-06-22
465874,Herb,Picht,Engineer,1985-05-31,1986-05-31
284045,Fun,Seiwald,Engineer,1994-06-24,1995-06-24
465711,Lakshmi,Frijda,Engineer,1990-04-21,1991-04-21
81105,Jaewon,Boissier,Engineer,1992-05-24,1993-05-24
282547,Nahum,Codenie,Engineer,1999-06-14,2000-06-13
81162,Marco,Klerer,Engineer,1993-11-01,1994-11-01
282191,Alper,Shinomoto,Engineer,1997-10-20,1998-10-20
281848,Parke,Staylopatis,Engineer,1993-07-31,1994-07-31
82069,Yechezkel,Perfilyeva,Engineer,1994-11-03,1995-11-03
82098,Poornachandra,Wilharm,Engineer,1991-04-20,1992-04-19
82511,Uwe,Koblick,Engineer,1998-04-04,1999-04-04
82919,Shigeu,Claffy,Engineer,1998-02-03,1999-02-03
279791,Chiranjit,Lyonns,Engineer,1986-12-24,1987-12-24
490557,Luise,Vigier,Engineer,1994-07-01,1995-07-01
279280,Niranjan,Debuse,Engineer,1992-09-21,1993-09-21
279115,Maren,DuCasse,Engineer,1997-11-29,1998-11-29
278883,Hidefumi,Saoudi,Engineer,1990-09-15,1991-09-15
465076,Tokuyasu,Ghelli,Engineer,1985-05-05,1986-05-05
82928,Alselm,Rikino,Engineer,1990-11-16,1991-11-16
83289,Shigeichiro,Engelmann,Engineer,1994-01-09,1995-01-09
83714,Ohad,Kilgore,Engineer,1990-07-01,1991-07-01
465062,Stafford,Gist,Engineer,1988-05-07,1989-05-07
31514,Harngdar,Schapire,Engineer,1996-11-09,1997-11-09
31599,Qingxiang,Gewali,Engineer,1997-09-22,1998-09-22
276922,Yongmin,Sidje,Engineer,1998-06-09,1999-06-09
490551,Lalit,Lindqvist,Engineer,1998-11-07,1999-11-07
276472,Hideyuki,Flanders,Engineer,1988-11-10,1989-11-10
17206,Berry,DeMori,Engineer,1992-12-27,1993-12-27
31909,Murthy,Peek,Engineer,1994-07-19,1995-07-19
275263,Vojin,Laventhal,Engineer,1991-10-18,1992-10-17
275158,Satyanarayana,Brandsma,Engineer,1999-12-08,2000-12-07
32844,Tadahiko,Melton,Engineer,1995-01-07,1996-01-07
84508,Tommaso,Vidya,Engineer,1998-05-02,1999-05-02
273396,Wayne,Baba,Engineer,1998-03-07,1999-03-07
273274,Yolla,Kobara,Engineer,1995-12-29,1996-12-28
84922,Parke,Unno,Engineer,1996-07-01,1997-07-01
272452,Mitsuyuki,Isard,Engineer,1996-08-17,1997-08-17
272316,Surveyors,Muhling,Engineer,1999-07-19,2000-07-18
271975,Yuchang,Busillo,Engineer,1986-03-30,1987-03-30
271219,Odoardo,Tyugu,Engineer,1994-11-07,1995-11-07
271106,Taisook,Kampfer,Engineer,1997-11-30,1998-11-30
85702,Udi,Merks,Engineer,1997-08-15,1998-08-15
17369,Yaghout,Kenevan,Engineer,1993-01-28,1994-01-28
270792,Domenico,Wendorf,Engineer,1988-09-08,1989-09-08
86324,Maia,Berstel,Engineer,1988-07-17,1989-07-17
268890,Somnath,Uhrik,Engineer,1988-01-14,1989-01-13
268043,Narain,Mikschl,Engineer,1997-11-02,1998-11-02
267745,Wojceich,Honglei,Engineer,1991-12-28,1992-12-27
86655,Zhenhua,Lorys,Engineer,1995-08-21,1996-08-20
267227,Susuma,Tagansky,Engineer,1995-01-22,1996-01-22
489465,Bogdan,Pepe,Engineer,1995-02-15,1996-02-15
460707,Yoshinari,Lanteri,Engineer,1996-12-25,1997-12-25
87714,Khun,Janetzko,Engineer,1989-09-13,1990-09-13
34452,Naftaly,Foong,Engineer,1991-05-10,1992-05-09
265875,Fan,Marsiglia,Engineer,1989-09-03,1990-09-03
459685,Hirochika,Goldhammer,Engineer,1998-03-12,1999-03-12
265521,Kensei,Salverda,Engineer,1993-05-25,1994-05-25
88411,Lena,Cannane,Engineer,2000-01-28,2001-01-27
459356,Pramod,Wendorf,Engineer,1998-12-25,1999-12-25
88647,Vasiliy,Ratnaker,Engineer,1995-08-09,1996-08-08
459172,Val,Rissanen,Engineer,1993-11-20,1994-11-20
263721,Abdulah,Horswill,Engineer,1999-06-12,2000-06-11
458919,Kaijung,Papadias,Engineer,1999-05-01,2000-04-30
88965,Mang,Hedayat,Engineer,1995-05-22,1996-05-21
89346,Mansur,Comyn,Engineer,1999-08-31,2000-08-30
89487,Kazuhira,Seiwald,Engineer,1995-03-25,1996-03-24
262928,Piyush,Gill,Engineer,1990-08-31,1991-08-31
262752,Pramod,Bierman,Engineer,1997-12-12,1998-12-12
89806,Xiadong,Shinomoto,Engineer,1997-05-24,1998-05-24
262548,Jixiang,Loncour,Engineer,1994-03-16,1995-03-16
89922,Alexius,Ibel,Engineer,1988-04-24,1989-04-24
262154,Wonhee,Vrecion,Engineer,1986-03-14,1987-03-14
90077,Vivian,Guerreiro,Engineer,1991-07-08,1992-07-07
458383,Mabhin,Foote,Engineer,1999-04-23,2000-04-22
261631,Jianhua,Huttel,Engineer,1998-02-23,1999-02-23
35044,Jiang,Waschkowski,Engineer,1989-05-27,1990-05-27
260361,Reinhold,Rahier,Engineer,1995-06-06,1996-06-05
90211,Bader,Denis,Engineer,1997-10-06,1998-10-06
90292,Koichi,Assaf,Engineer,1990-05-26,1991-05-26
458111,Florian,Tramer,Engineer,1999-11-07,2000-11-06
35441,Chandrasekaran,Peek,Engineer,1988-02-07,1989-02-06
91182,Lucien,Schwartzburd,Engineer,1988-08-25,1989-08-25
91229,Yahiko,Hebden,Engineer,1996-10-03,1997-10-03
258376,Jaber,Falco,Engineer,1995-10-01,1995-10-11
233394,Khalid,Lenart,Engineer,1995-12-24,1996-12-23
232697,Barry,Ramsak,Engineer,1990-09-07,1991-09-07
232209,Nitsan,Rouquie,Engineer,1988-08-01,1989-08-01
18021,Adil,Matzke,Engineer,1987-05-08,1988-05-07
109703,Arco,Walston,Engineer,1999-08-16,2000-08-15
230498,Kolar,Puppo,Engineer,1990-04-25,1991-04-25
38593,Huei,Orsini,Engineer,1986-06-04,1987-06-04
229727,Ewing,Millington,Engineer,1999-09-28,2000-09-27
452365,Fei,Gadepally,Engineer,1988-11-13,1989-11-13
229391,Paloma,Henseler,Engineer,1991-06-11,1992-06-10
229352,Kwangho,Petereit,Engineer,1999-08-10,2000-05-06
229220,Fabrizio,Lichtman,Engineer,1987-02-09,1988-02-09
497391,Paris,Lieblein,Engineer,1999-05-19,2000-05-18
228766,Nahla,Smailagic,Engineer,1991-11-22,1992-11-21
228575,Takanari,Pelc,Engineer,1990-08-18,1991-08-18
228098,IEEE,Kroll,Engineer,1997-05-10,1998-05-10
39268,Constantijn,Awdeh,Engineer,1987-10-20,1988-10-19
201801,Waiman,Genin,Engineer,1988-10-30,1989-10-29
201915,Sudharsan,DeMori,Engineer,1992-03-30,1993-03-30
227354,Gio,Murtha,Engineer,1986-11-11,1987-11-11
202031,Annemarie,Peternell,Engineer,1994-03-13,1995-03-13
225964,Mooi,Cooman,Engineer,1989-06-07,1990-06-07
225788,Ipke,Kieras,Engineer,1995-12-18,1996-12-17
452137,Subir,Miake,Engineer,1993-07-11,1994-07-11
487856,Jaewon,Mansanne,Engineer,1999-05-22,2000-04-29
224135,Annemarie,Bressoud,Engineer,1998-06-23,1999-06-23
202291,Ortrun,Schmiedel,Engineer,1997-07-18,1998-07-18
202403,Gully,Perko,Engineer,1999-07-07,2000-07-06
202552,Morris,Saoudi,Engineer,1991-11-22,1992-11-21
221699,Szabolcs,Georgatos,Engineer,1999-08-16,2000-02-06
221435,Djenana,Marrevee,Engineer,1994-02-06,1995-02-06
221369,Abdulah,Pocchiola,Engineer,1996-08-28,1997-08-28
451272,Jacopo,Krohm,Engineer,1991-04-24,1992-04-23
203697,Claude,Kemmerer,Engineer,1994-01-16,1995-01-16
39341,Mahmut,Lampe,Engineer,1985-05-11,1986-05-11
497174,Sanjiv,Bressoud,Engineer,1993-04-27,1994-04-27
450934,Chanjung,Raoux,Engineer,1992-05-25,1993-05-25
204471,Franziska,Maginnis,Engineer,1986-02-17,1987-02-17
220131,Reinhard,Slaats,Engineer,1994-06-08,1995-06-08
40283,Sudhanshu,Boissier,Engineer,1985-05-11,1986-05-11
204764,Susanne,Mandelberg,Engineer,1990-11-02,1991-11-02
205018,Yahiko,Awdeh,Engineer,1998-08-05,1999-08-05
219047,Aemilian,Kusalik,Engineer,1987-05-27,1988-05-26
205627,Stabislas,Broder,Engineer,1996-07-16,1997-07-16
218831,Unal,DuBourdieux,Engineer,1996-03-13,1997-03-13
206372,Temple,Joslin,Engineer,1993-01-05,1994-01-05
486958,Tonny,Kropf,Engineer,1986-07-30,1987-07-30
217551,Panayotis,Lukaszewicz,Engineer,1989-06-06,1990-06-06
206865,Vasilii,Cochrane,Engineer,1991-09-13,1992-09-12
217320,Abdelwaheb,Denis,Engineer,1993-09-10,1994-09-10
206966,Tzu,Sichman,Engineer,1987-11-17,1988-11-16
207021,Jacqueline,Akaboshi,Engineer,1997-12-06,1998-12-06
450421,Selwyn,Munoz,Engineer,1989-07-05,1990-07-05
107486,Siamak,Luiz,Senior Engineer,1987-02-11,1988-02-11
76201,Arif,Preusig,Senior Engineer,1992-04-02,1993-04-02
233247,Murthy,Angiulli,Senior Engineer,1986-08-02,1987-08-02
233114,Alselm,Gargeya,Senior Engineer,1987-12-25,1988-12-24
233426,Etsuo,Usery,Senior Engineer,1995-03-02,1996-03-01
275444,Limsoon,Leppanen,Senior Engineer,1993-01-21,1994-01-21
107737,Fabrizio,Chleq,Senior Engineer,1999-07-31,2000-07-30
108316,Shai,Stellhorn,Senior Engineer,1992-05-21,1993-05-21
289454,Bowen,Narwekar,Senior Engineer,1985-03-08,1986-03-08
63419,Hiroyasu,Seuren,Senior Engineer,1989-03-05,1990-03-05
231798,Goetz,Alvarado,Senior Engineer,1988-12-25,1989-12-25
109062,Jamaludin,Kandlur,Senior Engineer,1992-06-19,1993-06-19
38550,JoAnne,Baez,Senior Engineer,1987-02-16,1988-02-16
109211,Gor,Delgrande,Senior Engineer,1995-11-07,1996-11-06
234739,Foong,Aamodt,Senior Engineer,1986-06-28,1987-06-28
453723,Arne,Kohling,Senior Engineer,1985-12-13,1986-12-13
76417,Parviz,Duclos,Senior Engineer,1989-12-27,1990-12-27
106514,Otilia,Speek,Senior Engineer,1988-07-30,1989-07-30
452970,Mari,Fargier,Senior Engineer,1992-08-18,1993-08-18
288893,Bedrich,Rosenbaum,Senior Engineer,1991-01-27,1992-01-27
109741,Hatem,Fadgyas,Senior Engineer,1991-11-13,1992-11-12
235368,Anneli,Joslin,Senior Engineer,1987-04-12,1988-04-11
458790,Ramya,Azadmanesh,Senior Engineer,1988-11-19,1989-11-19
230002,Tadahiro,Backhouse,Senior Engineer,1991-10-02,1992-10-01
229981,Jamaludin,Fordan,Senior Engineer,1992-02-06,1993-02-05
288665,Horward,Khasidashvili,Senior Engineer,1998-11-19,1999-11-19
452956,Gou,Thombley,Senior Engineer,1987-04-09,1988-04-08
475087,Genevieve,Snedden,Senior Engineer,1988-10-21,1989-10-21
200052,Slavian,Cincotta,Senior Engineer,1992-05-30,1993-05-30
419388,Nikolaos,Bamford,Senior Engineer,1986-02-25,1987-02-25
200312,Akemi,Fujisaki,Senior Engineer,1998-06-25,1999-06-25
200363,Kirk,Quaggetto,Senior Engineer,1987-06-30,1988-06-29
63631,Falguni,Cherinka,Senior Engineer,1986-09-08,1987-09-08
106096,Naftali,Schurmann,Senior Engineer,1992-12-02,1993-12-02
30552,Yishai,Terlouw,Senior Engineer,1986-09-19,1987-09-19
229207,Filipe,Erol,Senior Engineer,1997-07-11,1998-07-11
258643,Przemyslawa,Esposito,Senior Engineer,1992-02-27,1993-02-26
76640,Tristan,Mitsuhashi,Senior Engineer,1994-07-13,1995-07-13
76847,Mariusz,Weiland,Senior Engineer,1989-08-16,1990-08-16
452325,Taiji,Berstel,Senior Engineer,1996-12-02,1997-12-02
235780,Sampalli,Bergere,Senior Engineer,1994-04-08,1995-04-08
418566,Kazuhide,Snedden,Senior Engineer,1996-06-14,1997-06-14
418380,Kazuhiko,Gornas,Senior Engineer,1993-05-20,1994-05-20
252316,Gill,Niizuma,Senior Engineer,1994-10-08,1995-10-08
34533,Erzsebet,Shigei,Senior Engineer,1991-01-21,1992-01-21
227476,Macha,Schnabel,Senior Engineer,1988-05-11,1989-05-11
64023,Laurentiu,Benzmuller,Senior Engineer,1999-11-08,2000-11-07
226227,Herbert,Erva,Senior Engineer,1986-09-06,1987-09-06
418239,Josyula,Motley,Senior Engineer,1992-09-05,1993-09-05
252392,Sanjeeva,Peron,Senior Engineer,1993-12-26,1994-12-26
225867,Ramalingam,Remmele,Senior Engineer,1999-09-03,2000-09-02
417128,Valeska,Rosenbaum,Senior Engineer,1994-05-18,1995-05-18
235793,Jayesh,Spinelli,Senior Engineer,1992-07-18,1993-07-18
498845,Arumugam,Pelc,Senior Engineer,1999-11-13,2000-11-12
287984,Troy,Kobuchi,Senior Engineer,1991-02-12,1992-02-12
491162,Panayotis,Hempstead,Senior Engineer,1994-08-29,1995-08-29
224335,Perry,Chachaty,Senior Engineer,1985-07-22,1986-07-22
416720,Tokuyasu,Xiaoshan,Senior Engineer,1991-09-19,1992-09-18
416660,Nathalie,Luke,Senior Engineer,1987-09-16,1988-09-15
416492,Kannan,Meriste,Senior Engineer,1992-08-12,1993-08-12
84451,Shiv,Aumann,Senior Engineer,1998-06-14,1999-06-14
222952,Gopalakrishnan,Suermann,Senior Engineer,1991-04-30,1992-04-29
222926,Limsoon,Erol,Senior Engineer,1997-12-31,1998-12-31
222878,Annemarie,Zallocco,Senior Engineer,1990-05-28,1991-05-28
222770,Kazuhiko,Kushner,Senior Engineer,1995-08-01,1996-07-31
18424,Filipp,Rousseau,Senior Engineer,1995-06-07,1996-06-06
236559,Berna,Nanard,Senior Engineer,1989-08-20,1990-08-20
453996,Sugwoo,Weiland,Senior Engineer,1997-04-23,1998-04-23
222319,Matt,Chvatal,Senior Engineer,1994-11-09,1995-11-09
222311,Miyeon,Billingsley,Senior Engineer,1992-12-05,1993-12-05
202826,Kerhong,Matzke,Senior Engineer,1986-11-14,1987-11-14
202882,Isaac,Koshino,Senior Engineer,1995-09-28,1996-09-27
78871,Conor,Ghandeharizadeh,Senior Engineer,1985-05-25,1986-05-25
252592,Sachem,McDermid,Senior Engineer,1987-04-30,1987-12-02
287609,Sailaja,Negoita,Senior Engineer,1988-01-20,1989-01-19
264939,Bogdan,Bahi,Senior Engineer,1985-02-09,1986-02-09
221126,Tesuya,dAstous,Senior Engineer,1988-11-29,1989-11-29
220799,Perla,Orlowska,Senior Engineer,1990-12-03,1991-12-03
92438,Aria,Kilgore,Senior Engineer,1989-02-27,1990-02-27
204425,Gretta,Huttel,Senior Engineer,1990-10-08,1991-10-08
455243,Khoa,Bahk,Senior Engineer,1991-06-10,1992-06-09
79171,Guiseppe,Ellozy,Senior Engineer,1991-01-12,1992-01-12
455284,Luisa,Baig,Senior Engineer,1996-07-12,1997-07-12
273286,Brigham,Asmuth,Senior Engineer,1989-01-23,1990-01-23
79239,Denny,Griswold,Senior Engineer,1989-05-18,1990-05-18
220029,Demos,Asser,Senior Engineer,1985-11-04,1986-11-04
79606,Arnd,Peir,Senior Engineer,1986-12-11,1987-12-11
414808,Aris,Sambasivam,Senior Engineer,1988-02-21,1989-02-20
286986,Woody,Trelles,Senior Engineer,1996-05-23,1997-05-23
205500,Mary,Setiz,Senior Engineer,1989-01-13,1990-01-13
34788,Ennio,Babu,Senior Engineer,1994-08-31,1995-08-31
414551,Elliott,Copas,Senior Engineer,1994-09-13,1995-09-13
414543,Bernd,Anick,Senior Engineer,1988-11-19,1989-11-19
205863,Aiichiro,Kusalik,Senior Engineer,1990-10-04,1991-10-04
450817,DAIDA,Frolund,Senior Engineer,1987-07-17,1988-07-16
40301,Spyrose,Felder,Senior Engineer,1996-06-16,1997-06-16
27620,Shuji,Kandlur,Senior Engineer,1990-03-02,1991-03-02
286573,Nahum,Nishimukai,Senior Engineer,1991-02-02,1992-02-02
414027,Tadanori,Msuda,Senior Engineer,1988-11-06,1989-11-06
217387,Jianhao,Molenaar,Senior Engineer,1987-10-22,1988-10-21
259273,Xiahua,Gomatam,Senior Engineer,1989-12-01,1990-12-01
64532,Atilio,Segond,Senior Engineer,1990-11-29,1991-11-29
253893,Huiqun,Trystram,Senior Engineer,1993-05-10,1994-05-10
85288,Younwoo,Luders,Senior Engineer,1995-03-31,1996-03-30
217080,Masami,Puoti,Senior Engineer,2000-01-21,2001-01-20
30695,Gudjon,Majewski,Senior Engineer,1999-10-26,2000-10-25
450371,Eldridge,Pargaonkar,Senior Engineer,1992-08-03,1993-08-03
216573,Ashish,Vidya,Senior Engineer,1989-06-16,1990-06-16
492217,Heekeun,Verhaegen,Senior Engineer,1991-09-28,1992-09-27
216375,Byong,Gustavson,Senior Engineer,1985-03-12,1986-03-12
216342,Aiichiro,Cromarty,Senior Engineer,1995-06-10,1996-06-09
104988,Parviz,Litzler,Senior Engineer,1992-08-08,1993-08-08
264167,Baoqiu,Tomescu,Senior Engineer,1996-05-01,1997-05-01
40536,Harngdar,Bernardinello,Senior Engineer,1988-02-29,1989-02-28
239415,Susumu,Brender,Senior Engineer,1993-04-17,1994-04-17
491079,Kwangsub,Keirsey,Senior Engineer,1992-02-04,1993-02-03
412404,Mitsuyuki,Jeansoulin,Senior Engineer,1999-10-28,2000-10-27
92454,Visit,McFarlan,Senior Engineer,1987-10-22,1988-10-21
285318,Theron,Ravishankar,Senior Engineer,1991-12-27,1992-12-26
65539,Aksel,Picaronny,Senior Engineer,1991-01-27,1992-01-27
103172,Doowon,Highland,Senior Engineer,1988-03-08,1989-03-08
472950,Weidon,Fordan,Senior Engineer,1986-03-27,1987-03-27
214634,Shirish,Vickson,Senior Engineer,1989-10-24,1990-10-24
80889,Shigeo,Linnainmaa,Senior Engineer,1985-07-30,1986-07-30
411070,Otmar,Brandsma,Senior Engineer,1987-05-28,1988-05-27
450184,Selwyn,Henseler,Senior Engineer,1993-03-09,1994-03-09
449984,Hinrich,Perin,Senior Engineer,1985-11-20,1986-11-20
410881,Koichi,Grabner,Senior Engineer,1990-04-24,1991-04-24
410804,Ronnie,Denos,Senior Engineer,1992-06-08,1993-06-08
213384,Pranas,Narwekar,Senior Engineer,1985-09-26,1986-09-26
208784,Pranjal,Juneja,Senior Engineer,1985-03-21,1986-03-21
285149,Nahum,Schahn,Senior Engineer,1998-02-17,1999-02-17
410616,Gudjon,Kalorkoti,Senior Engineer,1994-04-14,1995-04-14
462493,Paloma,Gerlach,Senior Engineer,1988-07-26,1989-07-26
410433,Kazuhisa,Riesenhuber,Senior Engineer,1992-10-06,1993-10-05
41518,Keung,Schapiro,Senior Engineer,1998-04-19,1999-04-19
209101,Xinyu,Edelhoff,Senior Engineer,1997-10-26,1998-10-25
93220,Richara,Walston,Senior Engineer,1996-08-27,1997-08-27
472790,Zhenbing,Ibel,Senior Engineer,1985-10-29,1986-10-29
409898,Divier,Ishibashi,Senior Engineer,1989-09-22,1990-09-22
409805,Frazer,Candan,Senior Engineer,1999-03-05,2000-03-04
66702,Deniz,Thibadeau,Senior Engineer,1994-09-27,1995-09-27
409712,Etsuo,Andreotta,Senior Engineer,1992-03-28,1993-03-28
284717,Gal,Ranta,Senior Engineer,1992-11-07,1993-11-07
284711,Martijn,Azevdeo,Senior Engineer,1988-02-10,1989-02-09
408953,Jolita,Claffy,Senior Engineer,1993-12-24,1994-12-24
264001,Khalil,Mapelli,Senior Engineer,1990-01-15,1991-01-15
41520,Xiong,Uhrik,Senior Engineer,1988-03-21,1989-03-21
472238,Jungsoon,Gubsky,Senior Engineer,1990-10-09,1991-10-09
41552,Uno,Heyers,Senior Engineer,1990-09-28,1991-09-28
10933,Juyoung,Seghrouchni,Senior Engineer,1993-08-02,1994-08-02
67934,Aiman,Gargeya,Senior Engineer,1985-03-07,1986-03-07
68416,Munenori,Debuse,Senior Engineer,1990-11-08,1991-11-08
408163,Irene,Sethi,Senior Engineer,1996-09-06,1997-09-06
91308,Remmert,Plumb,Senior Engineer,1986-06-14,1987-06-14
243077,Kazunori,Perz,Senior Engineer,1999-02-25,2000-02-25
407837,Fei,Erez,Senior Engineer,1986-10-15,1987-10-15
284561,Duri,Beznosov,Senior Engineer,1988-02-15,1989-02-14
68633,Chinhyun,Rassart,Senior Engineer,1993-07-29,1994-07-29
244714,Poorav,Clouatre,Senior Engineer,1996-05-06,1997-05-06
271118,Somnath,Nitsche,Senior Engineer,1987-08-15,1988-08-14
406537,Martien,Ranum,Senior Engineer,1993-03-15,1994-03-15
486808,Geoffrey,Siochi,Senior Engineer,1998-12-27,1999-12-27
31207,Abdelwaheb,Dulin,Senior Engineer,1993-08-05,1994-08-05
406249,Naraig,Snyers,Senior Engineer,1986-12-03,1987-12-03
447018,Dannz,Miara,Senior Engineer,1992-12-04,1993-12-04
446959,Aram,Passino,Senior Engineer,1995-01-28,1996-01-28
406239,Marek,Tomescu,Senior Engineer,1995-05-15,1996-05-14
261986,Gila,Ramsak,Senior Engineer,1997-05-13,1998-05-13
244820,Shigenori,Hertweck,Senior Engineer,1987-04-13,1988-04-12
446306,Hercules,Kabayashi,Senior Engineer,1991-06-10,1992-06-09
44540,Mingzeng,Sadowski,Senior Engineer,1989-11-12,1990-11-12
445950,Ebru,Valtorta,Senior Engineer,1992-12-09,1993-12-09
405063,Yechezkel,Yurov,Senior Engineer,1998-11-30,1999-11-30
454791,Xiaoqiu,Pietracaprina,Senior Engineer,1994-07-09,1995-07-09
45162,Dulce,Speel,Senior Engineer,1987-10-19,1988-10-18
101063,Nectarios,Munos,Senior Engineer,1994-08-31,1995-08-14
28193,Xinglin,Mitsuhashi,Senior Engineer,1988-12-14,1989-12-14
251233,Yucel,Bernini,Senior Engineer,1993-02-19,1994-02-19
46811,Junsik,Berendt,Senior Engineer,1988-04-27,1989-04-27
261737,Mark,Lindqvist,Senior Engineer,1990-11-22,1991-11-22
445067,Eldridge,Kawashima,Senior Engineer,1990-02-27,1991-02-27
283041,Nathalie,Foote,Senior Engineer,1991-07-20,1992-06-20
444487,Udi,Rullman,Senior Engineer,1994-04-09,1995-04-09
444465,Prasadram,Bultermann,Senior Engineer,1997-08-29,1998-08-29
444228,Xinglin,Busillo,Senior Engineer,1998-10-08,1999-06-11
17988,Mabhin,Calkin,Senior Engineer,1989-11-30,1990-11-30
496970,Giordano,Maquelin,Senior Engineer,1999-12-31,2000-12-30
282894,Fay,Bellmore,Senior Engineer,1989-05-03,1990-05-03
485577,Rafael,Menhoudj,Senior Engineer,1997-04-27,1998-04-27
47262,Gonzalo,Binkley,Senior Engineer,1985-08-16,1986-08-16
47515,Naraig,Jenevein,Senior Engineer,1987-01-18,1988-01-18
240236,True,Tischendorf,Senior Engineer,1986-01-19,1987-01-19
48882,Leen,Lamparter,Senior Engineer,1993-06-07,1994-06-07
12408,Rasiah,Sudkamp,Senior Engineer,1995-04-18,1996-04-17
404236,Zengping,Kakkar,Senior Engineer,1988-07-22,1989-07-22
404018,Valery,Babb,Senior Engineer,1998-10-19,1999-10-19
80948,Harjit,Bardell,Senior Engineer,1991-05-24,1992-05-23
28974,Chenxi,Sundgren,Senior Engineer,1986-09-02,1987-09-02
488693,Jiong,Zultner,Senior Engineer,1993-03-10,1994-03-10
442312,Zengping,Cusworth,Senior Engineer,1991-06-07,1992-06-06
442096,Martijn,DiGiano,Senior Engineer,1990-06-15,1991-06-15
35798,Ulf,Oberman,Senior Engineer,1997-03-15,1998-03-15
49119,Lena,Peek,Senior Engineer,1991-05-16,1992-05-15
403237,Muneo,Gunderson,Senior Engineer,1985-12-08,1986-12-08
403010,Toshimitsu,Sluis,Senior Engineer,1985-02-18,1986-02-18
441536,Chinho,Collette,Senior Engineer,1990-08-07,1991-08-07
70990,Arumugam,Nitta,Senior Engineer,1990-03-23,1991-03-23
263645,Mingsen,Lally,Senior Engineer,1990-12-04,1991-12-04
402664,Subhada,Janetzko,Senior Engineer,1987-01-25,1988-01-25
263439,Atreye,Kabayashi,Senior Engineer,1986-12-15,1987-12-15
490720,Younwoo,Samarati,Senior Engineer,1996-08-19,1997-08-19
100916,Heejo,Aamodt,Senior Engineer,1992-04-22,1993-04-22
440435,Sandeepan,Rosti,Senior Engineer,1991-11-26,1992-11-25
483825,Marek,Mitchem,Senior Engineer,1992-11-20,1993-11-20
402025,Shigehito,Duclos,Senior Engineer,1987-09-20,1988-09-19
91973,Jianwen,Jakobus,Senior Engineer,1998-08-24,1999-08-24
439377,Mari,Plessier,Senior Engineer,1997-07-04,1998-07-04
93040,Jaques,Kabayashi,Senior Engineer,1992-03-13,1993-03-13
457411,Xudong,Peck,Senior Engineer,1988-04-18,1989-04-18
50311,Mooi,Stafford,Senior Engineer,1996-10-06,1997-10-06
438158,Shaw,Varman,Senior Engineer,1994-12-16,1995-12-16
13957,Angus,Chelton,Senior Engineer,1986-04-18,1987-02-02
281859,Masanao,Papastamatiou,Senior Engineer,1985-11-25,1986-11-25
50831,Marie,Khalid,Senior Engineer,1990-10-27,1991-10-27
246146,Zhongwei,Melski,Senior Engineer,1987-09-04,1988-09-03
71685,Kristinn,Olano,Senior Engineer,1989-10-03,1990-10-03
254787,Mohan,Chepyzhov,Senior Engineer,1995-04-06,1996-04-04
94944,Heping,Matheson,Senior Engineer,1988-06-24,1989-06-24
96571,Kokou,Garrabrants,Senior Engineer,1997-11-05,1998-11-05
454994,Mohan,Picht,Senior Engineer,1991-02-24,1992-02-24
436558,Subir,Greibach,Senior Engineer,1992-05-24,1993-05-24
281692,Khosrow,Sommen,Senior Engineer,1990-03-03,1991-03-03
52038,Chikako,Armand,Senior Engineer,1985-05-18,1986-05-18
435664,Sham,Chiodo,Senior Engineer,1997-07-28,1998-07-28
241254,Jagoda,Anguita,Senior Engineer,1993-05-11,1994-05-11
251680,Moty,Sommen,Senior Engineer,1990-08-14,1991-08-14
20129,Rafael,Skafidas,Senior Engineer,1991-03-28,1992-03-27
81619,Gen,Aloisi,Senior Engineer,1985-03-12,1986-03-12
491596,Charmane,Pargas,Senior Engineer,1988-07-29,1989-07-29
96100,Pranay,Rebaine,Senior Engineer,1998-02-01,1999-02-01
280836,Ipke,Farrar,Senior Engineer,1991-03-04,1992-03-03
482278,Sven,Hinsberger,Senior Engineer,1989-09-11,1990-09-11
